TITLE,2010_Average,2011_Average,2012_Average,2013_Average,2014_Average,2015_Average,2016_Average,2017_Average,2018_Average,2019_Average,2020_Average,2021_Average,2022_Average,2023_Average,2024_Average
        Retail Trade,60716.67,61383.33,63525.0,67158.33,68908.33,70766.67,71766.67,71241.67,71658.33,70258.33,62475.0,64416.67,64041.67,64116.67,64338.33
        "Transportation, Warehousing, and Utilities",22800.0,23450.0,24166.67,23975.0,25433.33,26850.0,27483.33,28966.67,30308.33,32191.67,33250.0,36491.67,39841.67,40033.33,23965.0
      Information,14333.33,14166.67,14491.67,14066.67,14683.33,16641.67,18233.33,18791.67,19966.67,20533.33,19900.0,18791.67,19141.67,18616.67,14348.33
      Financial Activities,23333.33,24491.67,26066.67,28033.33,29058.33,29283.33,30333.33,28733.33,28008.33,28350.0,27033.33,27091.67,27075.0,27283.33,26196.67
        Finance & Insurance,14300.0,15658.33,16941.67,18475.0,19100.0,19400.0,20266.67,18458.33,17458.33,17541.67,17133.33,16816.67,16283.33,16333.33,16895.0
        Real Estate & Rental & Leasing,9033.33,8833.33,9125.0,9558.33,9958.33,9883.33,10066.67,10275.0,10550.0,10808.33,9900.0,10275.0,10791.67,10950.0,9301.66
      Professional and Business Services,108133.33,111025.0,117258.33,118350.0,120350.0,125666.67,128733.33,130383.33,134025.0,136625.0,128908.33,134358.33,137841.67,135008.33,115023.33
        "Professional, Scientific & Technical Services",57250.0,58450.0,61791.67,62383.33,64091.67,68358.33,71933.33,69341.67,73466.67,76391.67,73850.0,76975.0,80250.0,80250.0,60793.33
        Management of Companies & Enterprises,19400.0,20341.67,21633.33,19425.0,17908.33,15908.33,14275.0,17425.0,16941.67,16466.67,16100.0,16775.0,17000.0,16375.0,19741.67
        Administrative and Support and Waste and Remediatio,31483.33,32233.33,33833.33,36541.67,38350.0,41400.0,42525.0,43616.67,43616.67,43766.67,38958.33,40608.33,40591.67,38383.33,34488.33
      Private Education and Health Services,105016.67,104575.0,108283.33,111025.0,111625.0,114491.67,117558.33,122150.0,123591.67,125958.33,121783.33,125116.67,128508.33,135825.0,108105.0
        Private Educational Services,13916.67,14066.67,14591.67,15591.67,16000.0,15558.33,15966.67,15758.33,15816.67,16408.33,13991.67,14300.0,15225.0,15341.67,14833.34
        Health Care & Social Assistance,91100.0,90508.33,93691.67,95433.33,95625.0,98933.33,101591.67,106391.67,107775.0,109550.0,107791.67,110816.67,113283.33,120483.33,93271.67
      Leisure and Hospitality,54466.67,55966.67,58333.33,61883.33,65766.67,68366.67,70916.67,74116.67,76425.0,78000.0,53025.0,57866.67,68616.67,71141.67,59283.33
        "Arts, Entertainment, and Recreation",8983.33,9108.33,9100.0,9391.67,9766.67,9841.67,10091.67,10883.33,11541.67,12858.33,7241.67,7908.33,10516.67,11300.0,9270.0
        Accommodation & Food Services,45483.33,46858.33,49233.33,52491.67,56000.0,58525.0,60825.0,63233.33,64883.33,65141.67,45783.33,49958.33,58100.0,59841.67,50013.33
      Other Services,23191.67,23341.67,23991.67,24808.33,24958.33,25450.0,26225.0,27191.67,27458.33,27491.67,22475.0,23800.0,25775.0,27191.67,24058.33
      Government,116116.67,116041.67,114858.33,115058.33,117275.0,120058.33,123483.33,124166.67,123866.67,124083.33,118425.0,114533.33,113183.33,115483.33,115870.0
        Federal Government,10483.33,9733.33,9583.33,9300.0,9250.0,9100.0,9150.0,9025.0,8733.33,8708.33,9041.67,8583.33,8308.33,8441.67,9670.0
          State Government,36891.67,37133.33,37258.33,37600.0,37991.67,38566.67,38366.67,37891.67,37875.0,38025.0,36541.67,34208.33,31491.67,32083.33,37375.0
          Local Government,68741.67,69175.0,68016.67,68158.33,70033.33,72391.67,75966.67,77250.0,77258.33,77350.0,72841.67,71741.67,73383.33,74958.33,68825.0
